	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
55																					262	0.26365957340832746	0.023219959677291145	74	1.7182770161195446																															204	0.41694020968880907	0.024441743548335275	29.0	0.708810562901723										
56																					190	0.26362490012445194	0.0232387549440338	74	1.7196678658585012																															141	-0.41473873949776585	0.02528440340891654	29.0	0.7332476988585797										
57																					208	0.26322756561022354	0.023455061843160555	74	1.735674576393881																															165	-0.4147098451031662	0.025295618920498118	29.0	0.7335729486944454										
58																					228	-0.26306519554094865	0.023543946361070687	74	1.7422520307192308																															56	0.40955203681255525	0.027363688660368958	29.0	0.7935469711506998										
59																					164	-0.26027565541310943	0.025116262542973097	74	1.8586034281800092																															256	-0.40905910516855	0.02756832810079684	29.0	0.7994815149231084										
60																					65	-0.25936181259611374	0.02565032202689868	74	1.8981238299905023																															250	-0.4055911795531592	0.02904346250371896	29.0	0.8422604126078499										
61																					147	0.25907811807750125	0.025818059541612075	74	1.9105364060792935																															43	-0.4035506088168848	0.029940958903618923	29.0	0.8682878082049488										
62																					278	0.25892184295977266	0.02591085492115458	74	1.917403264165439																															131	0.40243868265119914	0.03043939314930432	29.0	0.8827424013298253										
63																					102	-0.25884771419932734	0.025954970827202276	74	1.9206678412129685																															21	0.40182806969461665	0.030715952777155105	29.0	0.890762630537498										
64																					259	-0.2584164001476667	0.026212919735565336	74	1.939756060431835																															254	-0.4016713181912815	0.030787275985177755	29.0	0.8928310035701549										
65																					58	-0.257192793345457	0.026956535178675533	74	1.9947836032219894																															69	-0.39916891655412573	0.03194415380852981	29.0	0.9263804604473644										
66																					139	0.25659329282634297	0.027327324778542793	74	2.0222220336121666																															219	-0.39797043467422105	0.03251052810420765	29.0	0.9428053150220219										
