Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
все_PRON,2.91,0.00397,92,196,288,19.8,fpi_lex_повествование.tsv
по_ADP,-2.89,0.00408,31,148,179,20.3,fpi_lex_повествование.tsv
когда_ADV,-2.89,0.00409,0,12,13,20.4,fpi_lex_повествование.tsv
постоянно_ADV,-2.86,0.00445,0,10,10,22.2,fpi_lex_повествование.tsv
так_ADV,-2.85,0.00454,30,135,166,22.6,fpi_lex_повествование.tsv
будет_VERB,-2.85,0.00458,2,20,22,22.9,fpi_lex_повествование.tsv
нравиться_VERB,-2.84,0.00479,11,67,79,23.9,fpi_lex_повествование.tsv
начинать_VERB,-2.83,0.00492,0,10,10,24.5,fpi_lex_повествование.tsv
происходить_VERB,-2.82,0.0051,0,10,10,25.5,fpi_lex_повествование.tsv
сессия_NOUN,-2.77,0.00575,5,30,35,28.7,fpi_lex_повествование.tsv
совсем_ADV,-2.67,0.00772,2,24,26,38.6,fpi_lex_повествование.tsv
это_PRON,-2.66,0.0081,29,131,161,40.4,fpi_lex_повествование.tsv
я_PRON,-2.65,0.00848,42,171,215,42.3,fpi_lex_повествование.tsv
всегда_ADV,-2.62,0.0091,4,28,32,45.4,fpi_lex_повествование.tsv
квартира_NOUN,-2.51,0.01234,1,12,13,61.6,fpi_lex_повествование.tsv
один_DET,-2.5,0.01295,1,11,12,64.6,fpi_lex_повествование.tsv
ли_PART,-2.48,0.01347,1,17,18,67.2,fpi_lex_повествование.tsv
фотография_NOUN,-2.46,0.01434,0,10,10,71.6,fpi_lex_повествование.tsv
рисовать_VERB,-2.45,0.01485,0,11,11,74.1,fpi_lex_повествование.tsv
сильно_ADV,-2.44,0.01507,4,20,24,75.2,fpi_lex_повествование.tsv
у_ADP,2.44,0.01541,110,271,382,76.9,fpi_lex_повествование.tsv
проходить_VERB,-2.42,0.01612,0,10,10,80.5,fpi_lex_повествование.tsv
тот_DET,-2.37,0.0183,5,32,37,91.4,fpi_lex_повествование.tsv
подруга_NOUN,-2.36,0.01899,0,10,10,94.8,fpi_lex_повествование.tsv
девушка_NOUN,2.34,0.02059,8,3,11,102.8,fpi_lex_повествование.tsv
сам_ADJ,2.3,0.02234,12,2,14,111.5,fpi_lex_повествование.tsv
мама_NOUN,-2.29,0.0226,1,18,19,112.8,fpi_lex_повествование.tsv
грустный_ADJ,-2.27,0.02363,1,11,12,118.0,fpi_lex_повествование.tsv
